home,away
The Citadel,Charleston
Xavier,Siena
Stony Brook,Yale
Kennesaw St.,Abilene Christian
Army,Fairleigh Dickinson
Morehead St.,Austin Peay
Ball St.,Detroit Mercy
LIU,Columbia
George Mason,Coppin St.
Dayton,New Mexico St.
Northern Illinois,Elon
Penn St.,Purdue Fort Wayne
West Virginia,Iona
Virginia Tech,Jacksonville
Rhode Island,Lafayette
Richmond,Maine
North Carolina A&T,Morgan St.
Western Michigan,South Dakota
Nicholls,Towson
Tulsa,Little Rock
Western Kentucky,Jackson St.
Murray St.,Maryland Eastern Shore
Rutgers,Merrimack
South Dakota St.,Southern Miss
Texas A&M,Southern
Georgetown,Mount St. Mary's
Alabama,Illinois
Arizona St.,Cal Poly
Gonzaga,Long Beach St.
Grand Canyon,UC Davis
Fresno St.,Prairie View A&M
Stanford,Norfolk St.
UNLV,Pepperdine
USC,San Jose St.
UC Santa Barbara,UTEP
Cal Baptist,Northern Colorado
UCLA,Idaho St.