home,away,Rk_home,Conf_home,AdjEM_home,AdjO_home,AdjO_Rk_home,AdjD_home,AdjD_Rk_home,AdjT_home,AdjT_Rk_home,Rk_away,Conf_away,AdjEM_away,AdjO_away,AdjO_Rk_away,AdjD_away,AdjD_Rk_away,AdjT_away,AdjT_Rk_away
Southern Indiana,Bucknell,317,OVC,-12.45,97.2,307,109.7,321,71.6,156,208,PL,-4.18,100.4,244,104.6,181,71,200
Air Force,Jacksonville St.,263,MWC,-7.78,101.6,213,109.4,314,65.9,364,214,CUSA,-4.58,100.5,240,105.1,192,69.3,322
California,Cal Poly,135,ACC,2.42,104.8,142,102.4,136,72.8,72,330,BW,-13.92,93.6,348,107.6,266,72.6,83
Saint Mary's,Chattanooga,41,WCC,16.2,112.6,40,96.4,46,67.4,357,151,SC,0.51,106.4,124,105.8,220,70.1,274
USC,Idaho St.,44,B10,15.84,111.7,53,95.9,39,72.2,108,298,BSky,-10.02,96.1,328,106.2,230,68,351
Utah,Central Arkansas,67,B12,11.72,109.8,72,98.1,72,71.5,168,335,ASun,-14.41,95.6,331,110,330,72.2,106
Idaho,UC Davis,281,BSky,-8.83,98.7,277,107.5,265,69.4,316,159,BW,-0.06,100.3,248,100.3,99,73.3,47
North Carolina Central,Gardner Webb,259,MEAC,-7.53,98.7,275,106.3,233,70.7,231,252,BSth,-7.1,98.7,276,105.8,219,71.2,188
Stanford,Cal St. Fullerton,97,ACC,8.12,109.1,80,101,108,69.7,302,240,BW,-6.27,98.2,285,104.4,178,71.2,184
Duke,Army,3,ACC,26.96,118.2,4,91.2,3,70.9,211,265,PL,-8,99.5,264,107.5,262,67.5,356
VCU,Boston College,45,A10,15.52,111.8,50,96.3,43,70.1,271,127,ACC,3.28,105.5,131,102.3,133,70.2,267
Cornell,Samford,166,Ivy,-0.42,106.7,116,107.2,253,72.7,76,146,SC,0.84,107.1,104,106.3,235,74.6,10
Xavier,IUPUI,43,BE,15.96,113,35,97,54,73.1,53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Penn St.,UMBC,54,B10,14.52,112,48,97.5,63,72.9,67,280,AE,-8.71,101.9,201,110.7,338,74.4,15
Temple,Monmouth,141,Amer,1.33,104.9,138,103.6,159,71.2,182,222,CAA,-4.79,100.8,233,105.6,211,72.3,102
Butler,Austin Peay,89,BE,9,109.3,77,100.3,98,71,199,271,ASun,-8.14,100.5,239,108.7,299,69.5,309
Bowling Green,Davidson,266,MAC,-8.04,100.4,242,108.4,292,72.4,95,124,A10,3.5,105.7,129,102.2,131,69.8,300
Bryant,Siena,144,AE,0.87,101.7,211,100.8,105,75.8,2,328,MAAC,-13.25,92.9,354,106.2,231,69.5,310
Saint Joseph's,Central Connecticut,92,A10,8.34,108.1,93,99.8,91,72.6,84,272,NEC,-8.19,96.9,313,105,189,69.1,327
Charleston,South Florida,125,CAA,3.5,107.5,98,104,166,72.2,111,106,Amer,5.64,106.9,111,101.3,112,72.1,113
Cincinnati,Morehead St.,15,B12,20.86,114.2,29,93.4,12,71.4,169,283,OVC,-9,96.2,327,105.2,194,70.5,243
Clemson,Saint Francis,24,ACC,19.16,114.8,20,95.7,38,70.3,260,351,NEC,-17.23,94.1,346,111.4,347,70.8,217
George Washington,Hampton,157,A10,0.03,106.1,127,106,223,71.5,162,314,CAA,-11.8,98.2,283,110,332,72.1,120
UNC Wilmington,Georgia Southern,160,CAA,-0.09,104,153,104.1,168,69.8,297,180,SB,-1.36,101.8,206,103.2,151,72.5,89
Green Bay,St. Thomas,304,Horz,-10.7,101.2,225,111.9,352,70.2,262,202,Sum,-3.47,105,136,108.5,295,68.4,344
Hofstra,Iona,181,CAA,-1.53,102.2,194,103.7,161,70.4,250,184,MAAC,-1.73,104.6,147,106.3,236,71.3,181
Rhode Island,Holy Cross,105,A10,6.4,108,95,101.6,116,72.1,112,346,PL,-15.95,96.6,321,112.5,355,70.1,270
Pittsburgh,Murray St.,32,ACC,18.28,114.4,27,96.1,41,70.5,248,112,MVC,4.38,106.4,122,102,126,69.7,303
N.C. State,Presbyterian,52,ACC,14.74,112.7,38,98,71,72.1,117,288,BSth,-9.36,102.1,197,111.5,348,69.5,311
Purdue,Northern Kentucky,12,B10,22.43,117.8,6,95.4,33,70.5,241,169,Horz,-0.53,99.9,254,100.4,102,71.2,190
Virginia Tech,USC Upstate,98,ACC,8.04,108.4,91,100.4,103,70.7,225,350,BSth,-16.91,94.9,339,111.8,350,71.6,153
Belmont,Furman,172,MVC,-0.7,103.8,161,104.5,179,73.6,37,170,SC,-0.55,103.9,160,104.4,177,71.8,141
Mississippi St.,Georgia St.,28,SEC,18.49,113.9,31,95.4,32,70.5,247,190,SB,-2.5,102.8,179,105.3,197,70.9,209
Kansas,North Carolina,7,B12,24.93,117.7,7,92.8,9,72,124,17,ACC,20.47,116,13,95.5,35,73.7,35
Tulane,Louisiana Monroe,191,Amer,-2.66,103,176,105.7,215,74.5,14,305,SB,-10.86,97.2,306,108.1,281,70.7,224
Alabama,Arkansas St.,4,SEC,26.95,121.5,2,94.6,24,75,8,120,SB,3.75,107.3,101,103.5,156,72.3,105
TCU,Florida Gulf Coast,55,B12,14.51,112.2,47,97.7,65,71.9,134,216,ASun,-4.66,101.6,212,106.3,232,68.9,332
Illinois,SIUE,22,B10,19.35,115.3,18,95.9,40,74.2,22,321,OVC,-12.85,96.7,318,109.6,320,71.4,171
Maryland,Mount St. Mary's,36,B10,17.11,108.9,81,91.8,5,70,276,262,MAAC,-7.77,97.6,302,105.4,201,71.9,137
Illinois Chicago,Yale,220,MVC,-4.74,101,230,105.7,216,69.8,295,103,Ivy,7.47,107.1,107,99.7,87,69.8,299
Duquesne,Princeton,149,A10,0.6,102.3,190,101.7,120,71.5,166,84,Ivy,9.29,111.7,54,102.4,137,69.9,284
Navy,Harvard,239,PL,-6.08,98.1,289,104.2,173,69.5,313,201,Ivy,-3.37,101.9,204,105.2,195,70.5,246
Villanova,NJIT,31,BE,18.32,112.8,37,94.5,19,68.9,333,332,AE,-13.98,94.1,347,108.1,280,69.5,314
BYU,UC Riverside,19,B12,20,114.8,22,94.8,27,71.2,186,165,BW,-0.38,105,137,105.4,202,70.8,218
Colorado,Northern Colorado,75,B12,10.5,107.9,96,97.4,62,70.6,233,196,BSky,-2.94,103.9,157,106.9,249,72.9,60
Marquette,George Mason,16,BE,20.48,115.6,15,95.1,29,71.9,136,95,A10,8.2,107.1,105,98.9,81,68.6,338
South Dakota St.,Long Beach St.,155,Sum,0.18,104.3,150,104.1,169,72.1,122,254,BW,-7.35,100.4,243,107.7,270,72.7,80
Colorado St.,Tennessee St.,66,MWC,12,108.6,88,96.6,49,71.1,196,303,OVC,-10.6,96.8,316,107.4,257,72.4,98
San Jose St.,Pacific,218,MWC,-4.68,99.6,260,104.2,174,68.2,349,284,WCC,-9.1,99.8,256,108.9,305,71.6,154
San Diego,Boston University,292,WCC,-9.5,96.8,314,106.3,238,73.6,40,246,PL,-6.95,100.9,232,107.9,274,69.2,326
Fresno St.,Sacramento St.,270,MWC,-8.14,97.9,294,106.1,226,75.1,7,300,BSky,-10.11,97.1,309,107.2,254,70.1,268
Loyola Marymount,UC irvine,131,WCC,2.94,108.5,89,105.5,207,69.4,317,104,BW,7.02,106.8,114,99.8,90,71.8,143
Oregon,Montana,33,B10,17.83,114.8,21,97,53,70.9,204,179,BSky,-1.2,105.4,133,106.6,245,69.9,289
Oregon St.,Weber St.,122,WCC,3.54,104.6,146,101.1,109,68.9,330,178,BSky,-1.03,103.1,173,104.1,172,69.8,296
Washington St.,Bradley,115,WCC,4.08,107.1,108,103,145,73.5,41,77,MVC,9.61,108.7,87,99.1,82,70,278