,Rk,Team,Conf,AdjEM,AdjO,AdjO_Rk,AdjD,AdjD_Rk,AdjT,AdjT_Rk,date
0,1,Houston,B12,+30.24,118.2,3,88.0,1,67.9,353,2024-11-06 00:00:00
1,2,Gonzaga,WCC,+27.81,122.5,1,94.7,26,72.8,70,2024-11-06 00:00:00
2,3,Duke,ACC,+26.96,118.2,4,91.2,3,70.9,211,2024-11-06 00:00:00
3,4,Alabama,SEC,+26.95,121.5,2,94.6,24,75.0,8,2024-11-06 00:00:00
4,5,Auburn,SEC,+26.20,117.7,8,91.5,4,72.9,64,2024-11-06 00:00:00
5,6,Connecticut,BE,+25.51,117.6,9,92.1,6,69.4,321,2024-11-06 00:00:00
6,7,Kansas,B12,+24.93,117.7,7,92.8,9,72.0,124,2024-11-06 00:00:00
7,8,Iowa St.,B12,+24.30,114.2,30,89.9,2,71.1,191,2024-11-06 00:00:00
8,9,Arizona,B12,+23.87,116.9,10,93.1,10,74.2,23,2024-11-06 00:00:00
9,10,Creighton,BE,+23.06,117.9,5,94.8,28,71.0,202,2024-11-06 00:00:00
10,11,Texas Tech,B12,+22.59,115.3,17,92.7,8,68.5,343,2024-11-06 00:00:00
11,12,Purdue,B10,+22.43,117.8,6,95.4,33,70.5,241,2024-11-06 00:00:00
12,13,St. John's,BE,+21.09,114.5,24,93.5,13,72.5,87,2024-11-06 00:00:00
13,14,Tennessee,SEC,+21.05,113.3,33,92.3,7,70.9,210,2024-11-06 00:00:00
14,15,Cincinnati,B12,+20.86,114.2,29,93.4,12,71.4,169,2024-11-06 00:00:00
15,16,Marquette,BE,+20.48,115.6,15,95.1,29,71.9,136,2024-11-06 00:00:00
16,17,North Carolina,ACC,+20.47,116.0,13,95.5,35,73.7,35,2024-11-06 00:00:00
17,18,Texas A&M,SEC,+20.43,114.4,25,93.9,14,69.4,315,2024-11-06 00:00:00
18,19,BYU,B12,+20.00,114.8,22,94.8,27,71.2,186,2024-11-06 00:00:00
19,20,UCLA,B10,+19.83,114.4,26,94.5,21,67.5,355,2024-11-06 00:00:00
20,21,Ohio St.,B10,+19.55,115.1,19,95.6,36,70.9,208,2024-11-06 00:00:00
21,22,Illinois,B10,+19.35,115.3,18,95.9,40,74.2,22,2024-11-06 00:00:00
22,23,Florida,SEC,+19.17,116.1,11,97.0,52,74.3,20,2024-11-06 00:00:00
23,24,Clemson,ACC,+19.16,114.8,20,95.7,38,70.3,260,2024-11-06 00:00:00
24,25,Michigan,B10,+19.06,114.3,28,95.3,30,72.1,116,2024-11-06 00:00:00
25,26,Baylor,B12,+18.79,116.0,12,97.3,59,69.8,293,2024-11-06 00:00:00
26,27,Texas,SEC,+18.53,113.1,34,94.6,23,71.2,183,2024-11-06 00:00:00
27,28,Mississippi St.,SEC,+18.49,113.9,31,95.4,32,70.5,247,2024-11-06 00:00:00
28,29,Arkansas,SEC,+18.41,112.8,36,94.4,18,73.5,43,2024-11-06 00:00:00
29,30,Dayton,A10,+18.41,112.6,39,94.2,16,69.0,329,2024-11-06 00:00:00
30,31,Villanova,BE,+18.32,112.8,37,94.5,19,68.9,333,2024-11-06 00:00:00
31,32,Pittsburgh,ACC,+18.28,114.4,27,96.1,41,70.5,248,2024-11-06 00:00:00
32,33,Oregon,B10,+17.83,114.8,21,97.0,53,70.9,204,2024-11-06 00:00:00
33,34,Michigan St.,B10,+17.57,110.7,61,93.2,11,70.1,273,2024-11-06 00:00:00
34,35,Kentucky,SEC,+17.42,114.6,23,97.2,57,72.9,65,2024-11-06 00:00:00
35,36,Maryland,B10,+17.11,108.9,81,91.8,5,70.0,276,2024-11-06 00:00:00
36,37,Iowa,B10,+16.92,115.7,14,98.7,77,74.6,13,2024-11-06 00:00:00
37,38,Northwestern,B10,+16.65,111.4,56,94.7,25,68.6,339,2024-11-06 00:00:00
38,39,Oklahoma,SEC,+16.55,111.1,58,94.5,22,70.7,226,2024-11-06 00:00:00
39,40,Memphis,Amer,+16.23,112.4,45,96.2,42,74.3,19,2024-11-06 00:00:00
40,Rk,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Rk,AdjEM,AdjO,2024-11-06 00:00:00
41,41,Saint Mary's,WCC,+16.20,112.6,40,96.4,46,67.4,357,2024-11-06 00:00:00
42,42,Indiana,B10,+16.18,111.8,52,95.6,37,71.9,139,2024-11-06 00:00:00
43,43,Xavier,BE,+15.96,113.0,35,97.0,54,73.1,53,2024-11-06 00:00:00
44,44,USC,B10,+15.84,111.7,53,95.9,39,72.2,108,2024-11-06 00:00:00
45,45,VCU,A10,+15.52,111.8,50,96.3,43,70.1,271,2024-11-06 00:00:00
46,46,Mississippi,SEC,+15.51,115.5,16,100.0,95,70.4,255,2024-11-06 00:00:00
47,47,Boise St.,MWC,+15.42,111.8,51,96.4,45,70.6,235,2024-11-06 00:00:00
48,48,Wisconsin,B10,+15.18,112.4,44,97.3,60,69.0,328,2024-11-06 00:00:00
49,49,Miami FL,ACC,+15.04,113.7,32,98.7,76,71.9,138,2024-11-06 00:00:00
50,50,San Diego St.,MWC,+15.03,109.3,76,94.3,17,69.9,291,2024-11-06 00:00:00
51,51,Kansas St.,B12,+14.88,109.4,75,94.5,20,70.9,213,2024-11-06 00:00:00
52,52,N.C. State,ACC,+14.74,112.7,38,98.0,71,72.1,117,2024-11-06 00:00:00
53,53,LSU,SEC,+14.58,112.5,42,97.9,69,72.1,114,2024-11-06 00:00:00
54,54,Penn St.,B10,+14.52,112.0,48,97.5,63,72.9,67,2024-11-06 00:00:00
55,55,TCU,B12,+14.51,112.2,47,97.7,65,71.9,134,2024-11-06 00:00:00
56,56,Louisville,ACC,+14.43,110.9,59,96.4,47,74.1,27,2024-11-06 00:00:00
57,57,Missouri,SEC,+13.99,112.4,43,98.5,74,70.8,216,2024-11-06 00:00:00
58,58,Wake Forest,ACC,+13.64,110.0,69,96.4,44,72.0,128,2024-11-06 00:00:00
59,59,Nebraska,B10,+13.45,110.0,70,96.5,48,73.1,57,2024-11-06 00:00:00
60,60,UCF,B12,+13.32,108.8,85,95.5,34,70.8,215,2024-11-06 00:00:00
61,61,Minnesota,B10,+13.29,110.5,64,97.2,58,70.3,258,2024-11-06 00:00:00
62,62,SMU,ACC,+13.02,112.3,46,99.3,83,72.0,130,2024-11-06 00:00:00
63,63,Grand Canyon,WAC,+12.74,112.5,41,99.7,89,71.8,144,2024-11-06 00:00:00
64,64,Rutgers,B10,+12.50,106.5,120,94.1,15,71.0,198,2024-11-06 00:00:00
65,65,Nevada,MWC,+12.35,111.7,55,99.3,84,70.7,227,2024-11-06 00:00:00
66,66,Colorado St.,MWC,+12.00,108.6,88,96.6,49,71.1,196,2024-11-06 00:00:00
67,67,Utah,B12,+11.72,109.8,72,98.1,72,71.5,168,2024-11-06 00:00:00
68,68,Notre Dame,ACC,+11.49,108.8,84,97.3,61,68.6,341,2024-11-06 00:00:00
69,69,New Mexico,MWC,+11.40,109.3,78,97.9,68,76.5,1,2024-11-06 00:00:00
70,70,Georgia Tech,ACC,+11.39,110.8,60,99.4,85,70.7,232,2024-11-06 00:00:00
71,71,Utah St.,MWC,+11.36,110.1,67,98.8,79,71.9,140,2024-11-06 00:00:00
72,72,North Texas,Amer,+10.89,108.7,86,97.8,66,66.6,362,2024-11-06 00:00:00
73,73,West Virginia,B12,+10.74,109.5,74,98.7,78,71.3,172,2024-11-06 00:00:00
74,74,Providence,BE,+10.57,107.3,100,96.7,50,69.7,306,2024-11-06 00:00:00
75,75,Colorado,B12,+10.50,107.9,96,97.4,62,70.6,233,2024-11-06 00:00:00
76,76,Washington,B10,+9.96,107.1,109,97.1,56,73.9,30,2024-11-06 00:00:00
77,77,Bradley,MVC,+9.61,108.7,87,99.1,82,70.0,278,2024-11-06 00:00:00
78,78,Arizona St.,B12,+9.59,104.9,139,95.3,31,72.1,123,2024-11-06 00:00:00
79,79,Vermont,AE,+9.56,107.1,106,97.6,64,67.3,358,2024-11-06 00:00:00
80,80,Virginia,ACC,+9.52,106.6,119,97.1,55,66.7,360,2024-11-06 00:00:00
81,Rk,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Rk,AdjEM,AdjO,2024-11-06 00:00:00
82,81,Georgia,SEC,+9.41,108.8,83,99.4,86,72.0,131,2024-11-06 00:00:00
83,82,Georgetown,BE,+9.38,111.8,49,102.5,139,70.5,242,2024-11-06 00:00:00
84,83,Florida St.,ACC,+9.35,107.2,103,97.9,67,74.2,24,2024-11-06 00:00:00
85,84,Princeton,Ivy,+9.29,111.7,54,102.4,137,69.9,284,2024-11-06 00:00:00
86,85,Santa Clara,WCC,+9.22,110.4,65,101.2,110,72.5,85,2024-11-06 00:00:00
87,86,Vanderbilt,SEC,+9.11,110.6,63,101.5,114,72.5,86,2024-11-06 00:00:00
88,87,Florida Atlantic,Amer,+9.10,109.1,79,100.0,96,73.2,51,2024-11-06 00:00:00
89,88,Syracuse,ACC,+9.08,111.2,57,102.1,129,74.1,25,2024-11-06 00:00:00
90,89,Butler,BE,+9.00,109.3,77,100.3,98,71.0,199,2024-11-06 00:00:00
91,90,South Carolina,SEC,+8.91,107.2,102,98.3,73,68.4,346,2024-11-06 00:00:00
92,91,Oklahoma St.,B12,+8.44,106.4,123,97.9,70,74.8,9,2024-11-06 00:00:00
93,92,Saint Joseph's,A10,+8.34,108.1,93,99.8,91,72.6,84,2024-11-06 00:00:00
94,93,UNLV,MWC,+8.28,110.7,62,102.4,135,70.3,257,2024-11-06 00:00:00
95,94,Loyola Chicago,A10,+8.22,106.7,117,98.5,75,72.1,115,2024-11-06 00:00:00
96,95,George Mason,A10,+8.20,107.1,105,98.9,81,68.6,338,2024-11-06 00:00:00
97,96,UAB,Amer,+8.19,110.3,66,102.1,130,70.9,205,2024-11-06 00:00:00
98,97,Stanford,ACC,+8.12,109.1,80,101.0,108,69.7,302,2024-11-06 00:00:00
99,98,Virginia Tech,ACC,+8.04,108.4,91,100.4,103,70.7,225,2024-11-06 00:00:00
100,99,Wichita St.,Amer,+7.77,108.1,94,100.3,97,73.8,33,2024-11-06 00:00:00
101,100,San Francisco,WCC,+7.75,108.5,90,100.7,104,73.2,50,2024-11-06 00:00:00
102,101,Seton Hall,BE,+7.56,104.5,148,96.9,51,69.7,305,2024-11-06 00:00:00
103,102,Liberty,CUSA,+7.54,107.9,97,100.4,101,68.4,347,2024-11-06 00:00:00
104,103,Yale,Ivy,+7.47,107.1,107,99.7,87,69.8,299,2024-11-06 00:00:00
105,104,UC Irvine,BW,+7.02,106.8,114,99.8,90,71.8,143,2024-11-06 00:00:00
106,105,Rhode Island,A10,+6.40,108.0,95,101.6,116,72.1,112,2024-11-06 00:00:00
107,106,South Florida,Amer,+5.64,106.9,111,101.3,112,72.1,113,2024-11-06 00:00:00
108,107,Louisiana Tech,CUSA,+5.61,105.5,132,99.9,94,70.1,269,2024-11-06 00:00:00
109,108,High Point,BSth,+5.24,110.1,68,104.9,185,72.0,127,2024-11-06 00:00:00
110,109,Massachusetts,A10,+5.11,106.8,112,101.7,121,73.5,42,2024-11-06 00:00:00
111,110,Saint Louis,A10,+4.96,109.5,73,104.5,180,73.1,55,2024-11-06 00:00:00
112,111,Wofford,SC,+4.53,109.8,71,105.3,198,69.9,288,2024-11-06 00:00:00
113,112,Murray St.,MVC,+4.38,106.4,122,102.0,126,69.7,303,2024-11-06 00:00:00
114,113,McNeese,Slnd,+4.37,106.8,113,102.5,138,71.3,173,2024-11-06 00:00:00
115,114,Towson,CAA,+4.19,106.5,121,102.3,134,68.1,350,2024-11-06 00:00:00
116,115,Washington St.,WCC,+4.08,107.1,108,103.0,145,73.5,41,2024-11-06 00:00:00
117,116,Northern Iowa,MVC,+4.06,105.3,134,101.3,111,70.8,220,2024-11-06 00:00:00
118,117,Troy,SB,+4.04,103.7,164,99.7,88,72.6,82,2024-11-06 00:00:00
119,118,St. Bonaventure,A10,+3.94,103.8,163,99.8,92,70.2,264,2024-11-06 00:00:00
120,119,Seattle,WAC,+3.85,102.6,183,98.8,80,71.5,165,2024-11-06 00:00:00
121,120,Arkansas St.,SB,+3.75,107.3,101,103.5,156,72.3,105,2024-11-06 00:00:00
122,Rk,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Rk,AdjEM,AdjO,2024-11-06 00:00:00
123,121,UMass Lowell,AE,+3.68,106.3,125,102.6,140,72.9,61,2024-11-06 00:00:00
124,122,Oregon St.,WCC,+3.54,104.6,146,101.1,109,68.9,330,2024-11-06 00:00:00
125,123,East Carolina,Amer,+3.53,106.3,126,102.8,141,69.9,292,2024-11-06 00:00:00
126,124,Davidson,A10,+3.50,105.7,129,102.2,131,69.8,300,2024-11-06 00:00:00
127,125,Charleston,CAA,+3.50,107.5,98,104.0,166,72.2,111,2024-11-06 00:00:00
128,126,Lipscomb,ASun,+3.32,107.4,99,104.1,170,72.9,66,2024-11-06 00:00:00
129,127,Boston College,ACC,+3.28,105.5,131,102.3,133,70.2,267,2024-11-06 00:00:00
130,128,Sam Houston St.,CUSA,+3.16,106.6,118,103.4,155,70.9,214,2024-11-06 00:00:00
131,129,Kent St.,MAC,+3.12,105.1,135,102.0,125,69.9,287,2024-11-06 00:00:00
132,130,UC San Diego,BW,+2.96,106.8,115,103.8,163,70.2,263,2024-11-06 00:00:00
133,131,Loyola Marymount,WCC,+2.94,108.5,89,105.5,207,69.4,317,2024-11-06 00:00:00
134,132,Akron,MAC,+2.82,103.2,172,100.3,100,70.7,228,2024-11-06 00:00:00
135,133,Drake,MVC,+2.73,104.4,149,101.6,118,71.5,163,2024-11-06 00:00:00
136,134,Charlotte,Amer,+2.73,108.3,92,105.6,208,66.7,359,2024-11-06 00:00:00
137,135,California,ACC,+2.42,104.8,142,102.4,136,72.8,72,2024-11-06 00:00:00
138,136,Ohio,MAC,+2.26,108.8,82,106.6,246,71.7,147,2024-11-06 00:00:00
139,137,Richmond,A10,+2.01,103.6,168,101.6,117,70.7,230,2024-11-06 00:00:00
140,138,Western Kentucky,CUSA,+1.72,104.0,154,102.2,132,75.4,4,2024-11-06 00:00:00
141,139,Purdue Fort Wayne,Horz,+1.71,104.7,143,103.0,146,73.3,48,2024-11-06 00:00:00
142,140,Texas St.,SB,+1.39,102.3,192,100.9,106,68.8,335,2024-11-06 00:00:00
143,141,Temple,Amer,+1.33,104.9,138,103.6,159,71.2,182,2024-11-06 00:00:00
144,142,James Madison,SB,+1.12,104.7,145,103.5,157,69.7,307,2024-11-06 00:00:00
145,143,UC Santa Barbara,BW,+0.91,104.9,141,104.0,165,70.4,252,2024-11-06 00:00:00
146,144,Bryant,AE,+0.87,101.7,211,100.8,105,75.8,2,2024-11-06 00:00:00
147,145,Tulsa,Amer,+0.85,103.9,156,103.1,148,72.9,62,2024-11-06 00:00:00
148,146,Samford,SC,+0.84,107.1,104,106.3,235,74.6,10,2024-11-06 00:00:00
149,147,La Salle,A10,+0.64,102.7,181,102.1,127,69.3,323,2024-11-06 00:00:00
150,148,Cal Baptist,WAC,+0.61,106.0,128,105.3,199,68.3,348,2024-11-06 00:00:00
151,149,Duquesne,A10,+0.60,102.3,190,101.7,120,71.5,166,2024-11-06 00:00:00
152,150,Utah Valley,WAC,+0.57,101.5,216,100.9,107,71.3,175,2024-11-06 00:00:00
153,151,Chattanooga,SC,+0.51,106.4,124,105.8,220,70.1,274,2024-11-06 00:00:00
154,152,East Tennessee St.,SC,+0.49,103.3,170,102.8,142,70.9,207,2024-11-06 00:00:00
155,153,Stephen F. Austin,Slnd,+0.39,101.9,202,101.5,113,72.7,73,2024-11-06 00:00:00
156,154,Appalachian St.,SB,+0.22,102.1,199,101.9,122,70.6,238,2024-11-06 00:00:00
157,155,South Dakota St.,Sum,+0.18,104.3,150,104.1,169,72.1,122,2024-11-06 00:00:00
158,156,New Mexico St.,CUSA,+0.10,101.7,209,101.7,119,70.4,251,2024-11-06 00:00:00
159,157,George Washington,A10,+0.03,106.1,127,106.0,223,71.5,162,2024-11-06 00:00:00
160,158,Marshall,SB,-0.04,103.5,169,103.6,158,72.3,101,2024-11-06 00:00:00
161,159,UC Davis,BW,-0.06,100.3,248,100.3,99,73.3,47,2024-11-06 00:00:00
162,160,UNC Wilmington,CAA,-0.09,104.0,153,104.1,168,69.8,297,2024-11-06 00:00:00
163,Rk,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Rk,AdjEM,AdjO,2024-11-06 00:00:00
164,161,Southern Illinois,MVC,-0.13,103.0,175,103.2,150,74.1,28,2024-11-06 00:00:00
165,162,UT Arlington,WAC,-0.30,104.1,151,104.4,175,73.6,38,2024-11-06 00:00:00
166,163,Miami OH,MAC,-0.35,102.8,180,103.1,149,71.4,170,2024-11-06 00:00:00
167,164,Abilene Christian,WAC,-0.37,102.6,182,103.0,147,72.4,97,2024-11-06 00:00:00
168,165,UC Riverside,BW,-0.38,105.0,137,105.4,202,70.8,218,2024-11-06 00:00:00
169,166,Cornell,Ivy,-0.42,106.7,116,107.2,253,72.7,76,2024-11-06 00:00:00
170,167,Winthrop,BSth,-0.49,104.7,144,105.2,193,71.3,179,2024-11-06 00:00:00
171,168,Louisiana,SB,-0.53,102.4,188,102.9,143,71.5,161,2024-11-06 00:00:00
172,169,Northern Kentucky,Horz,-0.53,99.9,254,100.4,102,71.2,190,2024-11-06 00:00:00
173,170,Furman,SC,-0.55,103.9,160,104.4,177,71.8,141,2024-11-06 00:00:00
174,171,North Alabama,ASun,-0.61,104.9,140,105.5,205,71.0,201,2024-11-06 00:00:00
175,172,Belmont,MVC,-0.70,103.8,161,104.5,179,73.6,37,2024-11-06 00:00:00
176,173,Milwaukee,Horz,-0.71,105.6,130,106.3,234,72.9,68,2024-11-06 00:00:00
177,174,UNC Greensboro,SC,-0.78,104.0,155,104.7,183,68.5,342,2024-11-06 00:00:00
178,175,Oakland,Horz,-0.87,103.8,162,104.6,182,70.8,219,2024-11-06 00:00:00
179,176,Nicholls,Slnd,-0.90,102.5,186,103.4,154,72.2,107,2024-11-06 00:00:00
180,177,UTEP,CUSA,-0.90,101.0,229,101.9,123,72.4,94,2024-11-06 00:00:00
181,178,Weber St.,BSky,-1.03,103.1,173,104.1,172,69.8,296,2024-11-06 00:00:00
182,179,Montana,BSky,-1.20,105.4,133,106.6,245,69.9,289,2024-11-06 00:00:00
183,180,Georgia Southern,SB,-1.36,101.8,206,103.2,151,72.5,89,2024-11-06 00:00:00
184,181,Hofstra,CAA,-1.53,102.2,194,103.7,161,70.4,250,2024-11-06 00:00:00
185,182,Jacksonville,ASun,-1.54,101.7,210,103.2,152,68.7,336,2024-11-06 00:00:00
186,183,Toledo,MAC,-1.71,107.0,110,108.8,302,72.7,74,2024-11-06 00:00:00
187,184,Iona,MAAC,-1.73,104.6,147,106.3,236,71.3,181,2024-11-06 00:00:00
188,185,Fordham,A10,-1.81,101.1,227,102.9,144,72.5,90,2024-11-06 00:00:00
189,186,Middle Tennessee,CUSA,-2.08,99.5,263,101.6,115,70.3,259,2024-11-06 00:00:00
190,187,DePaul,BE,-2.22,103.3,171,105.5,204,69.5,312,2024-11-06 00:00:00
